INDUSTRY_NAME,franchise_name,city,space,investment,no_of_outlets
"Agents, Dealers & Distributors",AV Software Solution,"Chennai, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Vantra,"Bhopal, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,No Franchisee
"Agents, Dealers & Distributors",KOJA,"Delhi, India",500 - 750 Sq.ft,Rs. 20lakhs-30lakhs,10 - 20
"Agents, Dealers & Distributors",FieldTurf Tarkett India (Great Sports Infra.,"Hyderabad, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",Spicely Natural,"Lucknow, India",Less than 250 Sq.ft,Rs. No Investment,No Franchisee
"Agents, Dealers & Distributors",Tuk Tuk,"Dhanbad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,20 - 40
"Agents, Dealers & Distributors","Ads Ocean, 7Oceans, HR Oceans","Ludhiana, India",Less than 250 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Nexpo,"Faizabad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Sscsm,"Nadia, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Mirah Belle Naturals,"Gurgaon, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Pro Natura,"Dhanbad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",Kent Mineral RO,"Noida, India",250 - 500 Sq.ft,Rs. 15Lakhs - 20Lakhs,No Franchisee
"Agents, Dealers & Distributors",Mac Instruments,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",SUN CITY,"Thrissur, India",500 - 750 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Venture LED,"Chennai, India",250 - 500 Sq.ft,Rs. 1 - 50000,80 - 160
"Agents, Dealers & Distributors",Sags Gems,"Rajkot, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,40 - 80
"Agents, Dealers & Distributors",S&amp;A Publications,"Thane, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",QTH,"Salem, India",250 - 500 Sq.ft,Rs. 1 - 50000,No Franchisee
"Agents, Dealers & Distributors",Bione,"Bengaluru, India",Less than 250 Sq.ft,Rs. 10Lakhs - 15Lakhs,No Franchisee
"Agents, Dealers & Distributors",Kryp Media,"Mumbai, India",250 - 500 Sq.ft,Rs. 1Lakh - 2Lakh,Less than 10
"Agents, Dealers & Distributors",RIVERINE ENTERPEISES,"Jaipur, India",250 - 500 Sq.ft,Rs. 40Lakhs- 50Lakhs,Less than 10
"Agents, Dealers & Distributors",Sangeetha Mobiles,"Bengaluru, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",KTS Business Solutions Pvt Ltd,"Ranga Reddy district, India",Greater than 5000 Sq.ft,Rs. Above 10Crore,No Franchisee
"Agents, Dealers & Distributors",Bikewo,"Hyderabad, India",750 - 1000 Sq.ft,Rs. 15Lakhs - 20Lakhs,40 - 80
"Agents, Dealers & Distributors",Solar Energy Solutions,"Hyderabad, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors","Bake Top, Kampp","Gurgaon, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,10 - 20
"Agents, Dealers & Distributors",Tree Dot,"Wayanad, India",Less than 250 Sq.ft,Rs. 1Lakh - 2Lakh,20 - 40
"Agents, Dealers & Distributors",Amaron,"Mohali, India",750 - 1000 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",DCGPAC,"Gurgaon, India",500 - 750 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Makeup Biography,"Bengaluru, India",1000 - 2000 Sq.ft,Rs. 50Lakhs - 75Lakhs,Less than 10
"Agents, Dealers & Distributors",VAS TRIBOLOGY,"Jamshedpur, India",Less than 250 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",RAFIK KASAM DARVESH,"Jamnagar, India",250 - 500 Sq.ft,Rs. 2lakhs -5 lakhs,No Franchisee
"Agents, Dealers & Distributors",Haptic Unicor,"Delhi, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Keding Enterprises Co Ltd,"Vite, India",Not Revealed Sq.ft,Rs. 20lakhs-30lakhs,20 - 40
"Agents, Dealers & Distributors",Kanwa Mansion,"Bengaluru, India",250 - 500 Sq.ft,Rs. 5lakhs-10lakhs,No Franchisee
"Agents, Dealers & Distributors",VOLTAS,"Bengaluru, India",250 - 500 Sq.ft,Rs. 50000 - 1Lakh,Less than 10
"Agents, Dealers & Distributors",Multi Digit,"Mysuru, India",Less than 250 Sq.ft,Rs. 1 - 50000,Less than 10
"Agents, Dealers & Distributors",Puncture Lock,"Ghaziabad, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,80 - 160
"Agents, Dealers & Distributors",Pax,"Mumbai, India",1000 - 2000 Sq.ft,Rs. 5lakhs-10lakhs,Less than 10
"Agents, Dealers & Distributors",Uhlalaa,"Mumbai, India",Less than 250 Sq.ft,Rs. 50000 - 1Lakh,No Franchisee
"Agents, Dealers & Distributors",Rock Tawa,"Coimbatore, India",Less than 250 Sq.ft,Rs. 2lakhs -5 lakhs,Less than 10
